,id,category,data
363,363,烦恼-夫妻,岁结婚婚假天怎么算我今年了结婚应该有天婚假符合晚婚年龄女周岁男周岁的可享受晚婚假天含天法定婚假婚假一般有多少天年月日劳动总局财政部发布的关于国营企业职工请婚丧假和路程假问题的通知劳总薪字号财企字号规定原劳动部一九五九年六月一日发出的中劳薪字第号通知中曾规定企业单位的职工请婚丧假在三个工作日以内的工资照发这个办法试行以来有些单位和职工反映职工结婚时双方不在一地工作职工的直系亲属死亡时需要职工本人到外地料理丧事的由于没有路程假给职工带来了一些实际困难经研究现对职工请婚丧假和路程假的问题作如下通知一职工本人结婚或职工的直系亲属父母配偶和子女死亡时可以根据具体情况由本单位行政领导批准酌情给予一至三天的婚丧假二职工结婚时双方不在一地工作的职工在外地的直系亲属死亡时需要职工本人去外地料理丧事的都可以根据路程远近另给予路程假三在批准的婚丧假和路程假期间职工的工资照发途中的车船费等全部由职工自理四以上规定从本通知下达之月起执行注双方晚婚的婚假延长到日该通知现在仍然在适用所以正常情况下婚假最长三天晚婚的具体婚假时间现在一般依据的是各省或者直辖市根据中华人民共和国人口与计划生育法自己规定的全国各地的规定并不一致所以晚婚的婚假具体时间请查阅你所在的省或者直辖市的省市人口与计划生育条例根据婚姻法以及计划生育条例的规定职工结婚可享受以下待遇一婚假按法定结婚年龄女周岁男周岁结婚的可享受天婚假符合晚婚年龄女周岁男周岁的可享受晚婚假天含天法定婚假结婚时男女双方不在一地工作的可视路程远近另给予路程假在探亲假探父母期间结婚的不另给假期婚假包括公休假和法定假再婚的可享受法定婚假不能享受晚婚假二婚假期间工资待遇在婚假和路程假期间工资照发参考爱问
411,411,烦恼-恋爱,男朋友出差在外可以发什么短信以表示关心呢他出差在外还要加班也发一些什么工作辛苦了要注意身体什么的不要太累了之类的记得要说我在这边想着你你的身体对我很重要等等但发一个就够不要多恰到好处觉的你很关心他还不烦着他工作
419,419,烦恼-两性问题,求救我该怎么办大家好我是个岁的女孩现在上高中了但是最很明显他不怀好意快告诉妈妈不然事情发生了不但你后悔你妈妈也会责备自己一辈子的最好的方法就是想告诉妈妈如果可以还是去寄宿学校住妈妈在家你就回来否则决不可以和他单独呆在家里要回家也一定要确保妈妈在家亚小心一些不要在家穿得报漏穿得越紧越厚越多嘴安全祝你好运不要让悲惨的事发生呀
422,422,烦恼-恋爱,我该这样决定吗大家帮帮忙我在一家很大的单位上班追求同一个单做人要坦坦荡荡一定要问清楚啊要不然不明不白不问就放弃显得你肤浅半途而费而且如果她喜欢你只是有其他原因那你不是要后悔了问吧我支持你
429,429,烦恼-两性问题,帮帮看看我的问题我的男朋友上面长了一个像小猴子似的东西不疼那是阴茎丘疹病本病没有特效治疗方法也不需要治疗患有本症的人最重要的是认识这个疾病从恐惧和忧虑中解脱出来本病对健康和阴茎的生理功能没有任何影响不需要治疗参考文章珍珠状阴茎丘疹病
431,431,烦恼-恋爱,抢救人员发现她的时候她已经死了是被垮塌下来的房子压死的透过母爱是天下最伟大最无私的爱向这位伟大的母亲默哀愿她在天堂能够放心她用生命保护下来的宝贝会在共和国快乐的成长
446,446,烦恼-家庭关系,老年人摆摊能行吗我爷爷退休了没什么事情做但是他又是个闲不住您爷爷还挺可爱的没什么关系大街上不是有很多老人在摆摊吗我就认识一个老头开了个修理铺人家说自己不图钱就图个乐呵呵呵不过我觉得他要是挣了钱会更有成就感的你不妨为他买本当代摆摊掘金术从天涯问答上可以搜索到网址让他有空了就去琢磨吧消磨时间也好啊
447,447,烦恼-交友技巧,如何和新来的顶头上司相处我是个岁的女孩子公司最近新招来一你当然得听新来的领导的工作安排了啊不管她的能力是不是比你强不要越权哟什么事找她汇报吧做好日常工作记录吧你得尊重她建议你看一本书没有任何借口她安排的工作你就执行吧要培养自己的工作执行力多看看书会对你有帮助的别老是觉得你自己是大材小用了
463,463,烦恼-两性问题,胡须怎么不那么浓呢我今年了有喉结有阴毛有腋毛阴茎发育正常胡子是男性第二性征之一胡须的多少是因人而异的一般认为胡须少的人可能与局部长胡子部位的毛囊不发达或对性激素不敏感所致一个男人只要身体健康生殖器官发育及功能正常其它第二性征正常单纯胡子少些或没有胡子问题是不大的你来信说到身体健康性生活正常这说明你的身体大致是正常的不必为没有胡子而担心这种情况不必治疗其实目前医药上也没有什么药物能特异性地使人长出胡子来
467,467,烦恼-恋爱,心爱的人讨厌自己了怎么办我喜欢上了我们班的一个男生可是他现在没关系啦你以后会遇到真正喜欢你的人现在的你更不应该粘着他因为这样只会让他更加反感你你可以安静的做自己的事情洒脱一些反而更加吸引人就算他不会再找你最起码也会欣赏你
497,497,烦恼-恋爱,求助啊关于恋爱问题亲戚介绍的女孩子刚见过面了有听到说她的弟如果你觉得她还不错有继续下去的必要那么他弟弟很可能就是你的小舅子哦所以关系还是要处好的弄不好以后会帮你呢可以投其所好送礼物哦这样还不显得失礼
538,538,烦恼-恋爱,我该怎么办我很喜欢一个男孩付出了很多从没想过要得到怎样的回您好我认为按原来的想法不理睬继续找你的未来
574,574,烦恼-恋爱,谁有这方面经历到底还还追不追啊我确定以前她对我有好感上次我我的建议是放弃追她原因如下一既然她那么容易把分手提出来而且不止一次得提出来那么就可以猜想她对这份感情不是特别坚定您要做好心理准备二您是男人怎么能为这种事愁眉不展呢应该以事业为重啊当您把时间用在为自己的理想奋斗上我保证您的心情会豁然开朗思想境界也会更加开阔充实地为理想而奋斗是令人羡慕的个人观点仅供参考愿您快点快乐哟
593,593,烦恼-夫妻,请教四月份五月份什么日子搬家比较好本人属兔我老公属猴儿子属龙夫属猴妻属兔儿子属龙阳历年月份除了下面的日子没有你们可以举行入宅仪式入住的日子阳历年月份你们搬家入住的最佳吉日阳历年月日农历阴历三月十八乙巳日或清晨分析如下乙巳日的贵人是夫生肖乙巳日和夫生肖六合乙巳日的禄是妻生肖入宅仪式时请生肖属猪的亲朋好友暂时避开阳历年月份适宜你们可以搬家入住但对全家人助益不大无助无害的日子阳历年月日月日月日月日月日月日或月日阳历年月日农历阴历二月二十九丁亥日或清晨入宅仪式时请生肖属蛇的亲朋好友暂时避开阳历年月日农历阴历三月初二己丑日清晨或入宅仪式时请生肖属羊的亲朋好友暂时避开阳历年月日农历阴历三月十三庚子日清晨或入宅仪式时请生肖属马的亲朋好友暂时避开阳历年月日农历阴历三月十九丙午日入宅仪式时请生肖属鼠的亲朋好友暂时避开阳历年月日农历阴历三月三十丁巳日或入宅仪式时请生肖属猪的亲朋好友暂时避开阳历年月日农历阴历四月初七甲子日清晨或入宅仪式时请生肖属马的亲朋好友暂时避开阳历年月日农历阴历四月十三庚午日清晨或入宅仪式时请生肖属鼠的亲朋好友暂时避开阳历年月日农历阴历四月十八丙子日清晨入宅仪式时请生肖属马的亲朋好友暂时避开阳历年月日农历阴历四月二十四辛巳日或清晨入宅仪式时请生肖属猪的亲朋好友暂时避开搬家的日子通常是指举行入宅仪式的日子最好在入宅仪式前把所有家具就定位床书衣服等杂物锅碗整理好封门把门关好等入宅仪式的吉日开门上香祭祖开火点火或放鞭炮等在当天入住入宅仪式指在吉日时在吉日时开新宅的门在吉日时开新宅的门后准备好祭祖的所有事宜布桌与祭品准备好祭祖的所有事宜布桌与祭品后上香祭祖是点香祭祀祖先点香祭祀祖先后插好香后香在燃烧时就可以在空暇时开炉火和烹饪入宅仪式没严格规定要开炉火和烹饪香火过二分之一就可以烧纸钱烧纸钱后香还在燃烧时就可以放鞭炮了入宅仪式没严格规定要放鞭炮入宅仪式礼成完成恭喜乔迁之喜祝事事大吉
598,598,烦恼-恋爱,段晓飞和张晓厦的成婚率有多高段晓飞和张晓厦可能结婚吗无聊不认识吧
611,611,烦恼-两性问题,请有经验的美女回答我和老公做爱的时候白带特别多有的时候治疗霉菌性阴道炎可以采用单纯西药治疗法也可以用中西医结合治疗一般治疗积极治疗可以引起霉菌性阴道炎的其他疾病消除易感因素保持外阴清洁干燥避免搔抓治疗期间禁止性不宜食用辛辣刺激性食品改变阴道酸碱度念珠菌生长最适宜的值为因此采用碱性溶液冲洗外阴阴道改变阴道的酸碱度对霉菌的生长繁殖会有抑制作用可使用的小苏打水冲洗阴道每日次周为疗程冲洗后要拭干外阴保持外阴干燥以抑制念珠菌的生长阴道上药使用咪唑类栓剂阴道上药对霉菌性阴道炎有很好的疗效克霉唑栓每晚粒于冲洗后纳入阴道天为疗程或达克宁栓每晚粒冲洗后阴道上药天为疗程外用药膏使用克霉唑软膏或达克宁软膏外涂可以治疗因霉菌感染引起的外阴炎减轻外阴痒痛的症状每日外涂数次应用周益肤清软膏是以益康唑为主药加有少量局部类固醇治疗剂制成止痒效果良好对患霉菌性外阴炎阴道炎外阴痒痛难耐者更适合外涂外阴早晚各次口服用药由于霉菌感染可以通过性生活在夫妻间相互传染因此可以通过口服用药对双方进行治疗口服药同样可以抑制肠道念珠菌氟康唑口服一次毫克顿服或斯皮仁诺口服如为初次感染念珠菌阴道炎每次服毫克于早晚饭后服用仅服天如为复发性霉菌性阴道炎斯皮仁诺药量需加大可每次服毫克每日次连服天也可每日服次每次毫克连服天服药均在饭后中草药治疗使用具有清热解毒杀虫止痒作用的中药煎水熏洗外阴既可以减轻症状又能抑制消灭念珠菌由于熏洗后患者的外阴痒痛灼热症状明显减轻因此更适用于急性霉菌性阴道炎的妇女可以减轻患者痛苦另外将中草药制成散剂或栓剂还可以进行阴道上药处方白鲜皮克黄柏克苦参克蛇床子克冰片克将药物用白布包好煎煮取汁毫升乘热熏蒸外阴待药液偏凉后坐浴分钟每日次熏洗前将药包取出晾干可再使用次天为疗程泡洗后阴道纳入克霉唑栓或达克宁栓粒外阴涂抹上述药膏处方实用皮肤病性病验方精选丁香克藿香克黄连克大黄克龙胆草克枯矾克薄荷克冰片克本方清热燥湿杀虫止痒对白色念珠菌和其他浅部皮肤真菌以及淋病双球菌均有很强的抑杀作用用法每天剂水煎外洗浸泡外阴次每次分钟亦可制成外洗液和外用霜外用已婚妇女可配合每天用药液冲洗阴道次连续用药天为个疗程处方性病的最新疗法苦参克蛇床子克龙胆草克生百部克土槿皮克黄柏克地肤子克加水毫升煎分钟去渣熏洗坐浴每晚次每次分钟处方实用皮肤病性病验方精选苦参克蛇床子克黄连克黄柏克川椒克枯矾克冰片克共为细末消毒备用用时先用苏打水冲洗外阴及阴道然后取药散适量撒于阴道和外阴每日次次为个疗程应用上述方法治疗后患者的临床症状会很快得到改善但这并不能肯定霉菌性阴道炎已经痊愈患者应该坚持完成治疗疗程然后到医院复查症状做妇科检查并化验阴道分泌物如果都无异常说明近期治愈以后每月月经干净后还要到医院复查次上述检查内容连续个月如果都为阴性才是彻底治愈参考资料
628,628,烦恼-家庭关系,妈妈对这个家没什么感情我觉得妈妈对我和爸爸和她兄弟姐妹完全不一样我们往往会苛责亲人而对别人却客客气气在你妈妈的眼里你和你父亲是最亲的人而她兄弟姐妹的位置不能和你们相提并论也许她的思维方式就是内外有别严于律己宽以待人这个己就包括你们父女两个至于你父母之间的事属于他们夫妻之间的所谓周瑜打黄盖一个愿打一个愿挨或许你妈妈会指责你父亲不对可是你父亲并未反对之类的那不是你能干涉的如果实在看不过眼可以提出意见啊想想那么些年你妈妈除了你说的有点严厉以外可有别的地方对你们不周的别埋怨她终归她是你的母亲试着去与她沟通理解她有句话说眼睛可以看到远处的风景唯独看不见离自己最近的睫毛是否能得到启发换句话说你可以对老公发脾气抱怨但你能对同事朋友等发脾气吗你妈妈也许就是这个思维
